norm_group	norm	count
ϣⲟⲟⲡ	ϣⲟⲟⲡ	2
ϩⲁⲑⲏ	ϩⲁⲑⲏ	2
ϩⲛⲁⲩ	ϩⲛⲁⲩ	2
ϩⲟⲩⲟ	ϩⲟⲩⲟ	2
ⲛϩⲟⲩⲟ	ϩⲟⲩⲟ	2
ϩⲙϩⲁⲗ	ϩⲙϩⲁⲗ	2
ϩⲏⲣⲱⲇⲏⲥ	ϩⲏⲣⲱⲇⲏⲥ	2
ⲓⲱϩⲁⲛⲛⲏⲥ	ⲓⲱϩⲁⲛⲛⲏⲥ	2
ϭⲙϭⲟⲙ	ϭⲙϭⲟⲙ	2
ⲇⲁⲩⲉⲓⲇ	ⲇⲁⲩⲉⲓⲇ	2
ϩⲁⲣⲉϩ	ϩⲁⲣⲉϩ	1
ϩⲁⲙⲟⲓ	ϩⲁⲙⲟⲓ	1
ϩⲃⲏⲩⲉ	ϩⲃⲏⲩⲉ	1
ⲡⲁⲡⲛⲟⲩⲧⲉ	ⲡⲁⲡⲛⲟⲩⲧⲉ	1
ϩⲓⲛⲁⲓ	ϩⲓⲛⲁⲓ	1
ϩⲟⲧϩⲧ	ϩⲟⲧϩⲧ	1
ϩⲙⲟⲟⲥ	ϩⲙⲟⲟⲥ	1
ϩⲛⲁⲁⲩ	ϩⲛⲁⲁⲩ	1
ϩⲟⲓⲛⲉ	ϩⲟⲓⲛⲉ	1
ϩⲟⲗⲱⲥ	ϩⲟⲗⲱⲥ	1
ϩⲟⲙⲛⲧ	ϩⲟⲙⲛⲧ	1
ϩⲟⲥⲟⲛ	ϩⲟⲥⲟⲛ	1
ϩⲱⲥⲧⲉ	ϩⲱⲥⲧⲉ	1
ϫⲉⲕⲁⲥ	ϫⲉⲕⲁⲥ	1
ϫⲟⲉⲓⲥ	ϫⲟⲉⲓⲥ	1
ⲁⲫⲑⲟⲛⲓⲁ	ⲁⲫⲑⲟⲛⲓⲁ	1
ⲓⲁⲉⲓⲣⲟⲥ	ⲓⲁⲉⲓⲣⲟⲥ	1
ⲙ[ ]	ⲙ[ ]	1
ⲉϣϫⲉ	ⲉϣϫⲉ	1
ϩⲏⲣⲱⲇⲓⲁⲥ	ϩⲏⲣⲱⲇⲓⲁⲥ	1
ⲉⲡⲓⲥⲧⲟⲗⲏ	ⲉⲡⲓⲥⲧⲟⲗⲏ	1
ⲣϩⲱⲃ	ⲣϩⲱⲃ	1
[…..]ⲉⲁ	[…..]ⲉⲁ	1
ⲭⲁⲣⲓⲍⲉ	ⲭⲁⲣⲓⲍⲉ	1
ⲧⲉⲗⲱⲛⲏⲥ	ⲧⲉⲗⲱⲛⲏⲥ	1
ⲅⲉⲑⲥⲏⲙⲁⲛⲉⲓ	ⲅⲉⲑⲥⲏⲙⲁⲛⲉⲓ	1
ⲣⲙⲛⲧⲣⲉ	ⲣⲙⲛⲧⲣⲉ	1
ⲁⲛⲟⲛ	ⲁⲛⲟⲛ	1
ⲁⲣⲏⲩ	ⲁⲣⲏⲩ	1
ⲃⲃⲟⲗ	ⲃⲃⲟⲗ	1
ⲣⲛⲟⲃⲣⲉ	ⲣⲛⲟⲃⲣⲉ	1
ⲉⲛⲉϩ	ⲉⲛⲉϩ	1
ⲉⲓⲣⲉ	ⲉⲓⲣⲉ	1
ⲉⲓⲱⲧ	ⲉⲓⲱⲧ	1
ⲉⲙⲁⲩ	ⲉⲙⲁⲩ	1
ⲉⲣⲏⲩ	ⲉⲣⲏⲩ	1
ⲉⲧⲃⲉ	ⲉⲧⲃⲉ	1
ⲙⲡϣⲁ	ⲙⲡϣⲁ	1
ⲏⲥⲁⲩ	ⲏⲥⲁⲩ	1
ⲛⲓϥⲉ	ⲛⲓϥⲉ	1
ⲓⲥⲁⲕ	ⲓⲥⲁⲕ	1
ⲕⲁⲧⲁ	ⲕⲁⲧⲁ	1
ⲕⲏⲫⲁ	ⲕⲏⲫⲁ	1
ⲕⲟⲩⲓ	ⲕⲟⲩⲓ	1
ⲕⲟⲩⲙ	ⲕⲟⲩⲙ	1
ⲡⲉϫⲉ	ⲡⲉϫⲉ	1
ⲗⲁⲁⲩ	ⲗⲁⲁⲩ	1
ⲗⲁⲙⲁ	ⲗⲁⲙⲁ	1
ⲙⲁⲁⲩ	ⲙⲁⲁⲩ	1
ⲙⲉⲣⲉ	ⲙⲉⲣⲉ	1
ⲙⲕⲁϩ	ⲙⲕⲁϩ	1
ⲙⲏⲧⲓ	ⲙⲏⲧⲓ	1
ⲙⲟⲕϩ	ⲙⲟⲕϩ	1
ⲣⲱϣⲉ	ⲣⲱϣⲉ	1
ⲙⲙⲁⲩ	ⲙⲙⲁⲩ	1
ⲙⲙⲓⲛ	ⲙⲙⲓⲛ	1
ⲙⲙⲟⲛ	ⲙⲙⲟⲛ	1
ⲥⲁϣϥ	ⲥⲁϣϥ	1
ⲙⲟⲟⲩ	ⲙⲟⲟⲩ	1
ⲙⲧⲟⲛ	ⲙⲧⲟⲛ	1
ⲛⲁⲙⲉ	ⲛⲁⲙⲉ	1
ⲥⲣϥⲉ	ⲥⲣϥⲉ	1
ⲥⲱϣⲉ	ⲥⲱϣⲉ	1
ⲛⲙⲛⲁ	ⲛⲙⲛⲁ	1
ⲛⲧⲟϥ	ⲛⲧⲟϥ	1
ⲛⲧⲟⲥ	ⲛⲧⲟⲥ	1
ⲟⲉⲓⲕ	ⲟⲉⲓⲕ	1
ⲟⲛⲧⲉ	ⲟⲛⲧⲉ	1
ⲟⲩⲉϣ	ⲟⲩⲉϣ	1
ⲟⲩⲏϩ	ⲟⲩⲏϩ	1
ⲟⲩⲱϣ	ⲟⲩⲱϣ	1
ⲟⲩⲱϩ	ⲟⲩⲱϩ	1
ⲟⲩⲇⲉ	ⲟⲩⲇⲉ	1
ⲟⲩⲏⲣ	ⲟⲩⲏⲣ	1
ⲟⲩⲟⲓ	ⲟⲩⲟⲓ	1
ⲟⲩⲟⲛ	ⲟⲩⲟⲛ	1
ⲟⲩⲱⲙ	ⲟⲩⲱⲙ	1
ⲡⲏⲣⲁ	ⲡⲏⲣⲁ	1
ⲡⲗⲏⲛ	ⲡⲗⲏⲛ	1
ⲣⲱⲙⲉ	ⲣⲱⲙⲉ	1
ⲥⲁⲁⲧ	ⲥⲁⲁⲧ	1
ⲥⲁⲣⲁ	ⲥⲁⲣⲁ	1
ⲥⲁⲣⲝ	ⲥⲁⲣⲝ	1
ⲃⲃⲗⲗⲁϥ	ⲃⲃⲗⲗⲁϥ	1
ⲥⲛⲟϥ	ⲥⲛⲟϥ	1
