ⲛϩⲉⲛⲥⲃⲟⲟⲩⲉ	ⲛ|ϩⲉⲛ|ⲥⲃⲟⲟⲩⲉ
ⲁⲩⲗⲩⲡⲉⲓ	ⲁ|ⲩ|ⲗⲩⲡⲉⲓ
ⲡⲕⲉⲥⲉⲉⲡⲉ	ⲡ|ⲕⲉ|ⲥⲉⲉⲡⲉ
ϫⲉⲡⲉⲧⲛⲥⲱⲙⲁ	ϫⲉ|ⲡⲉⲧⲛ|ⲥⲱⲙⲁ
ϩⲉⲛⲁⲕⲁⲑⲁⲣⲧⲟⲛ	ϩⲉⲛ|ⲁⲕⲁⲑⲁⲣⲧⲟⲛ
ⲛϩⲉⲛϭⲙⲏⲟⲩ	ⲛ|ϩⲉⲛ|ϭⲙⲏⲟⲩ
ⲙⲛⲡⲉⲥⲙⲟⲧ	ⲙⲛ|ⲡⲉ|ⲥⲙⲟⲧ
ϩⲱⲥⲧⲉ	ϩⲱⲥⲧⲉ
ⲧⲉϥϭⲟⲙ	ⲧⲉϥ|ϭⲟⲙ
ⲛⲉⲛⲧⲁⲩϩⲓⲧⲟⲟⲧⲟⲩ	ⲛ|ⲉⲛⲧ|ⲁ|ⲩ|ϩⲓⲧⲟⲟⲧ|ⲟⲩ
ϫⲉⲡⲉⲣⲟ	ϫⲉ|ⲡⲉ|ⲣⲟ
ⲉⲓⲥϩⲏⲏⲧⲉ	ⲉⲓⲥ|ϩⲏⲏⲧⲉ
ⲉϫⲟⲟⲩⲥⲟⲩ	ⲉ|ϫⲟⲟⲩ|ⲥⲟⲩ
ϩⲛⲛⲉⲛⲧⲁⲕϫⲟⲟⲩ	ϩⲛ|ⲛ|ⲉⲛⲧ|ⲁ|ⲕ|ϫⲟⲟ|ⲩ
ⲛⲥⲱⲉⲓ	ⲛⲥⲱ|ⲉⲓ
ϣⲁⲩϣⲱⲛϥ	ϣⲁ|ⲩ|ϣⲱⲛϥ
