#ⲱ	V	-
ϩⲉⲃⲱⲱⲛ	N	-
ϩⲉⲅⲉⲙⲱⲛ	N	-
ϩⲉⲅⲏⲙⲱⲛ	N	-
ϩⲉⲉϩⲣⲁⲓ	V	-
ϩⲉⲑⲛⲟⲥ	N	-
ϩⲉⲑⲟⲥ	N	-
ϩⲉⲓⲉⲓⲃ	N	-
ϩⲉⲓⲣⲉⲥⲓⲥ	N	-
ϩⲉⲓⲣⲉⲧⲓⲕⲟⲥ	N	-
ϩⲉⲓⲣⲏⲥⲓⲥ	N	-
ϩⲉⲓⲣⲏⲧⲓⲕⲟⲥ	N	-
ϩⲉⲗⲗⲏⲛ	N	-
ϩⲉⲗⲡⲓⲍⲉ	V	-
ϩⲉⲗⲡⲓⲥ	N	-
ϩⲉⲙϩⲁⲗ	N	-
ϩⲉⲛ	PREP	-
ϩⲉⲛ	ART	-
ϩⲉⲛϯⲙⲓⲛⲉ	none	-
ϩⲉⲛⲉⲉⲧⲉ	N	-
ϩⲉⲛⲟⲩϣⲉⲡϩⲙⲟⲧ	ADV	-
ϩⲉⲛⲟⲩϣⲡϩⲙⲟⲧ	ADV	-
ϩⲉⲛⲟⲩϩⲙⲟⲧ	ADV	-
ϩⲉⲛⲟⲩϩⲱⲡ	ADV	-
ϩⲉⲛⲟⲩϫⲱⲕ	ADV	-
ϩⲉⲛⲟⲩϭⲉⲡⲏ	ADV	-
ϩⲉⲛⲟⲩⲡⲉⲑⲏⲡ	ADV	-
ϩⲉⲛⲥⲟⲡ	ADV	-
ϩⲉⲡ	V	-
ϩⲉⲣⲙⲏⲛⲉⲩⲉ	V	-
ϩⲉⲣⲙⲏⲛⲉⲩⲧⲏⲥ	N	-
ϩⲉⲣⲙⲏⲛⲓⲁ	N	-
ϩⲉⲣⲙⲏⲥ	N	-
ϩⲉⲣⲙⲟⲅⲉⲛⲏⲥ	N	-
ϩⲉⲧϩⲱⲧ	V	-
ϩⲉⲧⲃ	V	-
ϩⲏϣ	V	-
ϩⲏⲃⲉ	N	-
ϩⲏⲃⲥ	N	-
ϩⲏⲅⲉⲙⲱⲛ	N	-
ϩⲏⲅⲏⲙⲱⲛ	N	-
ϩⲏⲇⲟⲛⲏ	N	-
ϩⲏⲕⲉ	N	-
ϩⲏⲗⲉⲓ	N	-
ϩⲏⲗⲉⲓⲁⲥ	N	-
ϩⲏⲗⲏⲕⲓⲁ	N	-
ϩⲏⲗⲓ	N	-
ϩⲏⲗⲓⲁⲥ	N	-
ϩⲏⲗⲓⲕⲓⲁ	N	-
ϩⲏⲗⲓⲟⲇⲱⲣⲟⲥ	N	-
ϩⲏⲗⲗⲏⲛ	N	-
ϩⲏⲙ	V	-
ϩⲏⲙⲉⲛⲁⲓⲟⲥ	N	-
ϩⲏⲛ	V	-
ϩⲏⲛⲉ	N	-
ϩⲏⲛⲧ	V	-
ϩⲏⲡ	V	-
ϩⲏⲡⲁⲣ	N	-
ϩⲏⲣⲟⲇⲏⲥ	N	-
ϩⲏⲣⲱⲇⲏⲥ	N	-
ϩⲏⲧ	N	-
ϩⲏⲧϥⲙ	PREP	-
ϩⲏⲧⲛⲟⲩⲱⲧ	N	-
ϩⲏⲩ	N	-
ϩⲓ	PREP	-
ϩⲓϫⲉⲛ	PREP	-
ϩⲓϫⲙ	PREP	-
ϩⲓϫⲛ	PREP	-
ϩⲓϫⲱ	PREP	-
ϩⲓⲃⲟⲗ	ADV	-
ϩⲓⲇⲓⲟⲛ	N	-
ϩⲓⲇⲓⲱⲧⲏⲥ	N	-
ϩⲓⲉⲓⲃ	N	-
ϩⲓⲉⲓⲧ	N	-
ϩⲓⲉⲣⲁϯⲟⲛ	N	-
ϩⲓⲉⲣⲟⲛ	N	-
ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	N	-
ϩⲓⲉⲣⲟⲫⲁⲛⲧⲏⲥ	N	-
ϩⲓⲏ	N	-
ϩⲓⲑⲏ	ADV	-
ϩⲓⲕⲁⲛⲟⲥ	N	-
ϩⲓⲕⲱⲛ	N	-
ϩⲓⲗⲁ	V	-
ϩⲓⲛⲁⲓ	ADV	-
ϩⲓⲛⲏⲃ	V	-
ϩⲓⲟⲙⲉ	N	-
ϩⲓⲟⲟⲩⲉ	N	-
ϩⲓⲟⲩⲉ	V	-
ϩⲓⲟⲩⲥⲟⲡ	ADV	-
ϩⲓⲡⲉⲥⲏⲧ	ADV	-
ϩⲓⲣ	N	-
ϩⲓⲣⲏⲛⲉ	N	-
ϩⲓⲣⲏⲛⲏ	N	-
ϩⲓⲣⲙ	PREP	-
ϩⲓⲣⲛ	PREP	-
ϩⲓⲣⲱ	PREP	-
ϩⲓⲥⲁⲅⲅⲉⲗⲟⲥ	V	-
ϩⲓⲥⲁⲩⲣⲟⲥ	N	-
ϩⲓⲥⲇⲟⲣⲓⲍⲉ	V	-
ϩⲓⲥⲇⲱⲣⲓⲍⲉ	V	-
ϩⲓⲥⲉ	N	-
ϩⲓⲥⲟⲛ	N	-
ϩⲓⲥⲧⲟⲣⲓⲁ	N	-
ϩⲓⲥⲧⲟⲣⲓⲍⲉ	V	-
ϩⲓⲥⲧⲱⲣⲓⲁ	N	-
ϩⲓⲥⲧⲱⲣⲓⲍⲉ	V	-
ϩⲓⲧⲉ	PREP	-
ϩⲓⲧⲉⲙ	PREP	-
ϩⲓⲧⲙ	PREP	-
ϩⲓⲧⲛ	PREP	-
ϩⲓⲧⲟⲟ	PREP	-
ϩⲓⲧⲟⲟⲧ	PREP	-
ϩⲓⲧⲟⲟⲧ	V	-
ϩⲓⲧⲟⲩⲱ	PREP	-
ϩⲓⲱ	PREP	-
ϩⲓⲱⲛⲉ	V	-
ϩⲓⲱⲧ	PREP	-
ϩⲓⲱⲱ	PREP	-
ϩⲕⲁⲉⲓⲧ	V	-
ϩⲕⲟ	V	-
ϩⲗⲗⲏⲛ	N	-
ϩⲗⲗⲟ	N	-
ϩⲗⲗⲱ	N	-
ϩⲗⲟϭ	V	-
ϩⲗⲟⲟⲗⲉ	N	-
ϩⲗⲟⲥⲧⲛ	V	-
ϩⲙ	PREP	-
ϩⲙϩⲁⲗ	N	-
ϩⲙϫ	N	-
ϩⲙⲉ	N	-
ϩⲙⲏ	N	-
ϩⲙⲙⲁⲛⲓⲙ	ADV	-
ϩⲙⲙⲉ	V	-
ϩⲙⲟⲙ	V	-
ϩⲙⲟⲟⲥ	V	-
ϩⲙⲟⲧ	N	-
ϩⲙⲟⲩ	N	-
ϩⲙⲡⲉϩⲟⲟⲩⲙⲛⲧⲉⲩϣⲏ	ADV	-
ϩⲙⲡⲉⲓⲙⲁ	ADV	-
ϩⲙⲡⲉⲓⲟⲩⲟⲉⲓϣ	ADV	-
