ϣⲏⲣⲡⲥϩⲁⲓ	ϣⲏⲣⲡ|ⲥϩⲁⲓ
ⲙⲛⲧⲣⲙⲛϩⲏⲧ	ⲙⲛⲧ|ⲣⲙ|ⲛ|ϩⲏⲧ
ⲙⲛⲧⲣⲙⲣⲁϣ	ⲙⲛⲧ|ⲣⲙ|ⲣⲁϣ
ⲙⲛⲧⲣⲣⲟ	ⲙⲛⲧ|ⲣⲣⲟ
ⲙⲛⲧⲥⲁⲃⲉ	ⲙⲛⲧ|ⲥⲁⲃⲉ
ⲙⲛⲧⲥⲛⲟⲟⲩⲥ	ⲙⲛⲧ|ⲥⲛⲟⲟⲩⲥ
ⲙⲛⲧⲥⲟϭ	ⲙⲛⲧ|ⲥⲟϭ
ⲙⲛⲧⲥⲧⲙⲏⲧ	ⲙⲛⲧ|ⲥⲧⲙⲏⲧ
ⲙⲛⲧⲧⲉⲗⲓⲟⲥ	ⲙⲛⲧ|ⲧⲉⲗⲓⲟⲥ
ⲛⲉϫⲧⲁϥ	ⲛⲉϫ|ⲧⲁϥ
ⲟⲩⲉϩⲥⲁϩⲛⲉ	ⲟⲩⲉϩ|ⲥⲁϩⲛⲉ
ⲣϣϥⲉ	ⲣ|ϣϥⲉ
ⲣϣⲁ	ⲣ|ϣⲁ
ⲣϣⲁⲩ	ⲣ|ϣⲁⲩ
ⲣϣⲟⲣⲡ	ⲣ|ϣⲟⲣⲡ
ⲣϣⲡⲏⲣⲉ	ⲣ|ϣⲡⲏⲣⲉ
ⲣϩⲁϩ	ⲣ|ϩⲁϩ
ⲣϩⲁⲉ	ⲣ|ϩⲁⲉ
ⲣϩⲃⲃⲉ	ⲣ|ϩⲃⲃⲉ
ⲣϩⲏⲃⲉ	ⲣ|ϩⲏⲃⲉ
ⲣϩⲏⲧ	ⲣ|ϩⲏⲧ
ⲣϩⲙϩⲁⲗ	ⲣ|ϩⲙϩⲁⲗ
ⲣϩⲙⲉ	ⲣ|ϩⲙⲉ
ⲣϩⲙⲙⲉ	ⲣ|ϩⲙⲙⲉ
ⲣϩⲛⲁ	ⲣ|ϩⲛⲁ
ⲣϩⲛⲁⲩ	ⲣ|ϩⲛⲁⲩ
ⲣϩⲛⲏ	ⲣ|ϩⲛⲏ
ⲣϩⲟⲧⲉ	ⲣ|ϩⲟⲧⲉ
ⲣϩⲟⲩⲟ	ⲣ|ϩⲟⲩⲟ
ⲣϩⲱⲃ	ⲣ|ϩⲱⲃ
ⲣϫⲟⲉⲓⲥ	ⲣ|ϫⲟⲉⲓⲥ
ⲣϫⲟⲩⲱⲧ	ⲣ|ϫⲟⲩⲱⲧ
ⲣϭⲟⲙ	ⲣ|ϭⲟⲙ
ⲣϭⲣⲱϩ	ⲣ|ϭⲣⲱϩ
ⲣⲁⲡⲟⲥⲧⲟⲗⲟⲥ	ⲣ|ⲁⲡⲟⲥⲧⲟⲗⲟⲥ
ⲣⲁⲧⲛⲁϩⲧⲉ	ⲣ|ⲁⲧ|ⲛⲁϩⲧⲉ
ⲣⲁⲧⲟⲟⲧ	ⲣ|ⲁⲧⲟⲟⲧ
ⲣⲁⲧⲥⲟⲟⲩⲛ	ⲣ|ⲁⲧ|ⲥⲟⲟⲩⲛ
ⲣⲃⲟⲟⲛⲉ	ⲣ|ⲃⲟⲟⲛⲉ
ⲣⲉϥϣⲙϣⲉ	ⲣⲉϥ|ϣⲙϣⲉ
ⲣⲉϥϣⲟⲟⲣ	ⲣⲉϥ|ϣⲟⲟⲣ
ⲣⲉϥϣⲡϩⲓⲥⲉ	ⲣⲉϥ|ϣⲉⲡ|ϩⲓ̇ⲥⲉ
ⲣⲉϥϩⲱϥⲧ	ⲣⲉϥ|ϩⲱϥⲧ
ⲣⲉϥϫⲓ	ⲣⲉϥ|ϫⲓ
ⲣⲉϥϫⲓϣⲟϫⲛⲉ	ⲣⲉϥ|ϫⲓ|ϣⲟϫⲛⲉ
ⲣⲉϥϫⲓⲕⲟⲗⲩⲙⲃⲟⲛ	ⲣⲉϥ|ϫⲓ|ⲕⲟⲗⲩⲙⲃⲟⲛ
ⲣⲉϥϫⲓⲛϭⲟⲛⲥ	ⲣⲉϥ|ϫⲓ|ⲛ|ϭⲟⲛⲥ
ⲣⲉϥϫⲓⲟⲩⲉ	ⲣⲉϥ|ϫⲓⲟⲩⲉ
ⲣⲉϥϭⲉⲡⲣⲱⲙⲉ	ⲣⲉϥ|ϭⲉⲡ|ⲣⲱⲙⲉ
ⲣⲉϥϯ	ⲣⲉϥ|ϯ
ⲣⲉϥϯϩⲁⲡ	ⲣⲉϥ|ϯ|ϩⲁⲡ
ⲣⲉϥϯϩⲉ	ⲣⲉϥ|ϯ|ϩⲉ
ⲣⲉϥⲉⲡⲓⲑⲩⲙⲉⲓ	ⲣⲉϥ|ⲉⲡⲓⲑⲩⲙⲓ
ⲣⲉϥⲙⲟⲟⲩⲧ	ⲣⲉϥ|ⲙⲟⲟⲩⲧ
ⲣⲉϥⲛⲕⲟⲧⲕ	ⲣⲉϥ|ⲛⲕⲟⲧⲕ
ⲣⲉϥⲣⲛⲟⲃⲉ	ⲣⲉϥ|ⲣ|ⲛⲟⲃⲉ
ⲣⲉϥⲥⲁϩⲟⲩ	ⲣⲉϥ|ⲥⲁϩⲟⲩ
ⲣⲉϥⲧⲱⲣⲡ	ⲣⲉϥ|ⲧⲱⲣⲡ
ⲣⲉⲃⲏ	ⲣ|ⲉⲃⲏ
ⲣⲉⲓⲣⲏⲛⲏ	ⲣ|ⲉⲓⲣⲏⲛⲏ
ⲣⲕⲁⲕⲉ	ⲣ|ⲕⲁⲕⲉ
ⲣⲕⲃⲁ	ⲣ|ⲕⲃⲁ
ⲣⲕⲟⲓⲛⲱⲛⲟⲥ	ⲣ|ⲕⲟⲓⲛⲱⲛⲟⲥ
ⲣⲕⲟⲩⲉⲓ	ⲣ|ⲕⲟⲩⲉⲓ
ⲣⲗⲁⲁⲩ	ⲣ|ⲗⲁⲁⲩ
ⲣⲙⲁⲧⲟⲓ	ⲣ|ⲙⲁⲧⲟⲓ
ⲣⲙⲉⲉⲩⲉ	ⲣ|ⲙⲉⲉⲩⲉ
ⲣⲙⲏ	ⲣ|ⲙⲏ
ⲣⲙⲛϩⲏⲧ	ⲣⲙ|ⲛ|ϩⲏⲧ
ⲣⲙⲛⲕⲁϩ	ⲣⲙ|ⲛ|ⲕⲁϩ
ⲣⲙⲛⲧⲣⲉ	ⲣ|ⲙⲛⲧⲣⲉ
ⲣⲙⲟⲛⲁⲭⲟⲥ	ⲣ|ⲙⲟⲛⲁⲭⲟⲥ
ⲣⲛⲟϥⲣⲉ	ⲣ|ⲛⲟϥⲣⲉ
ⲣⲛⲟϭ	ⲣ|ⲛⲟϭ
ⲣⲛⲟⲃⲉ	ⲣ|ⲛⲟⲃⲉ
ⲣⲛⲟⲃⲣⲉ	ⲣ|ⲛⲟⲃⲣⲉ
ⲣⲛⲟⲉⲓⲕ	ⲣ|ⲛⲟⲉⲓⲕ
ⲣⲟⲩ	ⲣ|ⲟⲩ
ⲣⲟⲩⲟⲉⲓⲛ	ⲣ|ⲟⲩⲟⲉⲓⲛ
ⲣⲡⲁⲓ	ⲣ|ⲡⲁⲓ
ⲣⲡⲉⲓⲑⲉⲓ	ⲣ|ⲡⲉⲓⲑⲉⲓ
ⲣⲡⲣⲟⲫⲏⲧⲏⲥ	ⲣ|ⲡⲣⲟⲫⲏⲧⲏⲥ
ⲣⲣⲙϩⲉ	ⲣ|ⲣⲙϩⲉ
ⲣⲣⲙⲙⲁⲟ	ⲣ|ⲣⲙⲙⲁⲟ
ⲣⲣⲟⲟⲩϣ	ⲣ|ⲣⲟⲟⲩϣ
ⲣⲣⲣⲟ	ⲣ|ⲣⲣⲟ
ⲣⲥϩⲓⲙⲉ	ⲣ|ⲥϩⲓⲙⲉ
ⲣⲥⲁϣϥ	ⲣ|ⲥⲁϣϥ
ⲣⲥⲁϩ	ⲣ|ⲥⲁϩ
ⲣⲥⲙⲟⲧ	ⲣ|ⲥⲙⲟⲧ
ⲣⲥⲛⲁⲩ	ⲣ|ⲥⲛⲁⲩ
ⲣⲥⲟϭ	ⲣ|ⲥⲟϭ
ⲣⲥⲧ	ⲣ|ⲥⲧ
ⲣⲧⲱⲛ	ⲣ|ⲧⲱⲛ
ⲣⲫⲟⲛⲟⲥ	ⲣ|ⲫⲟⲛⲟⲥ
ⲣⲭⲣⲉⲓⲁ	ⲣ|ⲭⲣⲉⲓⲁ
ⲣⲭⲣⲓⲁ	ⲣ|ⲭⲣⲓⲁ
ⲥⲁϩⲃⲟⲩⲣ	ⲥⲁ|ϩⲃⲟⲩⲣ
ⲧⲁϣⲉⲟⲉⲓϣ	ⲧⲁϣⲉ|ⲟⲉⲓϣ
ⲧⲁⲩⲉⲥϩⲃⲏⲓⲧⲉ	ⲧⲁⲩⲉ|ⲥϩⲃⲏⲓⲧⲉ
ⲧⲟⲩⲛⲉⲓⲁⲧ	ⲧⲟⲩⲛ|ⲉⲓⲁⲧ
ϩⲣⲁⲓ	ϩⲣⲁⲓ
ⲕⲣⲟϥ	ⲕⲣⲟϥ
ϣⲁⲁⲣ	ϣⲁⲁⲣ
ϫⲉⲕⲁⲥ	ϫⲉⲕⲁⲥ
ⲇⲓⲱⲕⲉⲓ	ⲇⲓⲱⲕⲉⲓ
ⲙⲛⲧⲣⲉ	ⲙⲛⲧⲣⲉ
ⲙⲟⲩⲣ	ⲙⲟⲩⲣ
ⲛⲉϩⲥⲉ	ⲛⲉϩⲥⲉ
ⲛⲟⲉⲓⲛ	ⲛⲟⲉⲓⲛ
ⲛⲟⲩϩⲙ	ⲛⲟⲩϩⲙ
ⲛⲟⲩϩⲉ	ⲛⲟⲩϩⲉ
ⲛⲟⲩⲛ	ⲛⲟⲩⲛ
ⲟⲩⲉⲓ	ⲟⲩⲉⲓ
ⲡⲉⲧⲛ	ⲡⲉⲧⲛ
ⲥⲟⲧⲡ	ⲥⲟⲧⲡ
ⲥⲧⲟⲓ	ⲥⲧⲟⲓ
ⲙⲛⲧⲣⲉ	ⲙⲛⲧⲣⲉ
